id,name,image,effect,FP cost,description,dlc
77,Land Octopus Ovary,http://eldenring.wiki.fextralife.com/file/Elden-Ring/land_octopus_ovary_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting octopuses. 
      ","Puffy, milky white ovary of a land octopus.Material used for crafting items.Land octopuses eat humans in order to bear young, and theirs is the blood that runs through these ovaries.",0
78,Living Jar Shard,http://eldenring.wiki.fextralife.com/file/Elden-Ring/living_jar_shard_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found by killing living jars 
      ","A fragment of a living jar, hardened after its death.Material used for crafting items. Such fragments command a high price due to the magical power locked within. This leaves the living jars unfortunate targets for poachers.",0
79,Lump of Flesh,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lump_of_flesh_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting carnivorous beast. 
      ",A lump of beast flesh filled with rich juices.Material used for crafting items.Found by hunting carnivorous beast.Meat suitable for a rustic feast.,0
80,Melted Mushroom,http://eldenring.wiki.fextralife.com/file/Elden-Ring/melted_mushroom_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found in and around the Eternal City 
      ",A mushroom that grows in the false night in and around the Eternal City.Material used for crafting items. It drips with a viscous fluid that behaves much like oil.,0
81,Miquella's Lily,http://eldenring.wiki.fextralife.com/file/Elden-Ring/miquellas_lily_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Exceedingly rare to find 
      ",A delicate water lily of unalloyed gold that has started to fade and wilt.Material used for crafting items.Exeedingly rare to find. A flower signifying faith in the Haligtree.Thought to be beloved by the Empyrean Miquella in his youth.,0
82,Miranda Powder,http://eldenring.wiki.fextralife.com/file/Elden-Ring/miranda_powder_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found by killing Miranda Sprouts 
      ","Pollen from a man-eating miranda flower.Material used for crafting items. Throughout history, perfumers have prized this extremely fragrant form of miranda pollen, not yet scattered into the air.",0
83,Slumbering Egg,http://eldenring.wiki.fextralife.com/file/Elden-Ring/slumbering_egg_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Dropped by 
       Owls
",Owl eggs that will never hatch.Material used for crafting items. Prized as a symbol of the most sublime slumber.,0
84,Mushroom,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mushroom_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Thrives in damp thickets and elsewhere. 
      ","A fungal growth that thrives in damp thickets and elsewhere.Material used for crafting items.Its thick, spongy flesh makes it a key component in throwing pots.",0
85,Nascent Butterfly,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nascent_butterfly_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Exceedingly rare to find 
      ",An arcane butterfly with translucent wings.Material used for crafting items.Exceedingly rare to find. This butterfly appears as if it's just emerged from its cocoon for its entire life.,0
86,Poisonbloom,http://eldenring.wiki.fextralife.com/file/Elden-Ring/poisonbloom_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Blooms in poisoned ground. 
      ","Flower that grows in toxic terrain.Material used for crafting items.Poisonous, but may also provide the cure.",0
87,Rimed Crystal Bud,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rimed_crystal_bud_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Widely found in cold regions 
      ","A young plant, frozen into a crystal before it could mature.Material used for crafting items. Widely found in cold regions.",0
88,Root Resin,http://eldenring.wiki.fextralife.com/file/Elden-Ring/root_resin_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Secreted from the roots of the Greattree. 
       Can also be found near trees on the surface. 
      ","Resin secreted from the roots of the Greattree.Can also be found near trees on the surface.Material used in crafting items. The roots of the Greattree were once linked to those of the Erdtree, or so they say, and it is for this reason catacombs are built around Greattree roots.",0
89,Rowa Fruit,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rowa_fuit_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Easily found everywhere in the Lands Between. 
      ","Berry-like red fruits that grow in shrubs.Material used for crafting items.Easily found everywhere in the Lands Between, it is primarily used in preserved foods.",0
90,Ruin Fragment,http://eldenring.wiki.fextralife.com/file/Elden-Ring/tuind_fragment_elden_ring_wiki_guide_200px.png,Material used for crafting items.,"
        Found near the remains of fallen ruins 
      ","Stone fragment found near places where ruins have fallen from the sky. Can be used for crafting, or simply for throwing at enemies. These shards of stone are believed to have once been part of a temple in the sky. They glow with a faint light from within.",0
91,Sacramental Bud,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sacramental_bud_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Exceedingly rare to find 
      ","An immature bud containing fresh blood.Material used for crafting items. Believed to originate long ago from a strain of buds cultivated with youthful, sacramental blood.",0
92,Sanctuary Stone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sanctuary_stone_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found near the remains of fallen ruins, but rarely 
      ",A rare piece of stone fragment found near places where ruins have fallen from the sky.Material used for crafting items. It feeds and strengthens the light as it shines.,0
93,Silver Firefly,http://eldenring.wiki.fextralife.com/file/Elden-Ring/silver_firefly_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found near cold waters untouched by sunlight. 
      ",Firefly that gives off a silvery light. Material used in crafting items. Found near bodies of cold water untouched by sunlight. The light of fireflies is believed to have an alluring magic. Silver light is considered to invite riches.,0
94,Sliver of Meat,http://eldenring.wiki.fextralife.com/file/Elden-Ring/silve_of_meat_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting herbivorous bests 
      ",A slice of thinly carved beast flesh.Material used for crating items.Found by hunting herbivorous beast.The dried meat toughens the constitution.,0
95,Strip of White Flesh,http://eldenring.wiki.fextralife.com/file/Elden-Ring/strip_of_white_flesh_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting creatures devoid of blood. 
      ","Thin strips of flesh taken from a bloodless creature.Material used for crafting items.The dried meat toughens the constitution, boosting resistance. It'sknown for its long-lasting effect.",0
96,Slumbering Egg,http://eldenring.wiki.fextralife.com/file/Elden-Ring/slumbering_egg_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Dropped by 
       Owls
",Owl eggs that will never hatch.Material used for crafting items. Prized as a symbol of the most sublime slumber.,0
97,Strip of White Flesh,http://eldenring.wiki.fextralife.com/file/Elden-Ring/strip_of_white_flesh_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting creatures devoid of blood. 
      ","Thin strips of flesh taken from a bloodless creature.Material used for crafting items.The dried meat toughens the constitution, boosting resistance. It'sknown for its long-lasting effect.",0
98,Tarnished Golden Sunflower,http://eldenring.wiki.fextralife.com/file/Elden-Ring/tarnished_golde_sunflower_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found near Minor Erdtrees 
      ","A large flower that blooms facing the Erdtree.Material used for crafting items.Found near Minor Erdtrees. Though wilted and faded, it still retains holy essence.",0
99,Toxic Mushroom,http://eldenring.wiki.fextralife.com/file/Elden-Ring/toxic_muschroom_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Grows in rotten lands 
      ",A mushroom covered in toxic mold that grows in rotten lands.Material used for crafting items. A skilled hand can repurpose its toxic mold into an effective ward against scarlet rot.,0
100,Trina's Lily,http://eldenring.wiki.fextralife.com/file/Elden-Ring/trinas_lily_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Exceedingly rare to find 
      ","A pale purple water lily that is on the verge of wilting.Material used for crafting items.Exceedingly rare to find.A symbol of faith in St. Trina.Dulls the senses, preventing agitation.",0
101,Turtle Neck Meat,http://eldenring.wiki.fextralife.com/file/Elden-Ring/turtle_neck_meat_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found by hunting turtles. 
      ","A splendid, lengthy cut of turtle neck meat. Material used for crafting items. Considered an especially nutritious ingredient In the south of the Lands Between.",0
102,Volcanic Stone,http://eldenring.wiki.fextralife.com/file/Elden-Ring/volcanic_stone_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found on 
       Mt. Gelmir
",A smoldering rock containing hot gas. Material used for crafting items. Found on Mt. Gelmir.,0
103,Yellow Ember,http://eldenring.wiki.fextralife.com/file/Elden-Ring/yellow_ember_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found in lands afflicted by frenzy 
      ",An ember taken from an eye socket of a corpse.Material used for crafting items. A sign that the deceased suffered from the flame of frenzy. This grape has ripened and burst.,0
104,Rimed Rowa,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rimed_rowa_elden_ring_wiki_guide_200px.png,Material used for crafting items,"
        Found in frigid highlands 
      ","A berry-like fruit, thought to be the original strain of Rowa.Material used for crafting items.Found in frigid highlands. This hardy species takes root even when frozen solid.",0
